firm_id,company,stock_code,board,ipo_year_auth,industry_auth,mention_z,scene_specificity,prudence,packaging_risk,evidence_support,auth_index,pack_index,roa_t1,rev_growth_t1,asset_turnover_t1,ln_assets_preipo,leverage_preipo,firm_age,rd_intensity_preipo,soe,industry_fin,ipo_year_fin,industry,ipo_year,perf_index
000030_2019,示例公司030,30,创业板,2023,软件和信息技术服务业,0.8269347388069388,3,2,0,2,0.9169733769317324,-0.2889818503987102,0.0424313565830811,0.1705091575871385,0.7723772385431853,21.551435791971645,0.5902520984627497,9,0.1054531970504453,0,软件和信息技术服务业,2023,软件和信息技术服务业,2023,0.8269929476541981
000031_2020,示例公司031,31,主板,2019,医药制造业,0.5646621227384142,1,2,2,2,0.1491228045048581,0.2973019507715894,0.0240876780283389,0.1453218183724175,0.5524263809826454,22.452333950643137,0.5999901227611611,15,0.1446356522740335,0,医药制造业,2019,医药制造业,2019,-0.5503942585903722
000032_2021,示例公司032,32,北交所,2020,专用设备制造业,-0.6083834410234482,3,3,2,0,0.7467557449442639,-0.8623780800789915,0.0492837975706752,0.1615530427132259,0.7683263454443108,20.434240927819484,0.3578957167878293,22,0.1432500985938713,0,专用设备制造业,2020,专用设备制造业,2020,0.9406785220219908
000033_2022,示例公司033,33,科创板,2021,制造业,-0.7547770526153261,3,0,0,2,-0.0782958044182425,-0.5744961376854192,0.0379946756415672,0.1768871904176793,0.6681864848108433,22.63747090265112,0.2243218649185326,22,0.0845256639593127,1,制造业,2021,制造业,2021,0.40003636177558227
000034_2023,示例公司034,34,创业板,2022,软件和信息技术服务业,0.2104419020638133,1,0,2,0,-0.4778989056208176,0.502784291783946,0.0266073122087557,0.1872507846808461,0.6892145488728993,21.461228682382256,0.1745681761714318,7,0.0909637424597433,0,软件和信息技术服务业,2022,软件和信息技术服务业,2022,0.2311312630575095
000035_2019,示例公司035,35,主板,2023,医药制造业,-0.1953710872486245,0,1,3,1,-0.6838493742560595,0.5124703052167272,0.0206271928195441,0.1801555878935652,0.4620350253224228,23.147812660733564,0.6164058765175071,17,0.1790992973189542,1,医药制造业,2023,医药制造业,2023,-0.7305533483329131
000036_2020,示例公司036,36,北交所,2019,专用设备制造业,-0.324543885449378,3,1,0,1,0.3111519676931895,-0.5759880854601385,0.0203662717735466,0.1435422765265142,0.6425049203565049,19.60573969509953,0.4438198450901435,4,0.124681571086434,0,专用设备制造业,2019,专用设备制造业,2019,-0.3592899202555493
000037_2021,示例公司037,37,科创板,2020,制造业,-0.8177334964640185,2,3,2,1,0.3393663345089345,-0.6876798069028509,0.0359480239495003,0.2399492267341815,0.9172003841428976,21.21343422489583,0.7413241016969557,17,0.14848853533004,1,制造业,2020,制造业,2020,1.5648952052156417
000038_2022,示例公司038,38,创业板,2021,软件和信息技术服务业,-0.0552446530874276,1,3,0,0,0.2235285937187533,-0.2985622310928178,0.0428948590796306,0.1978665861341682,0.783207054643256,20.313531848765894,0.4289840737161918,10,0.1634341747672694,1,软件和信息技术服务业,2021,软件和信息技术服务业,2021,1.0434906297366744
000039_2023,示例公司039,39,主板,2022,医药制造业,0.5597806694626652,2,1,2,0,0.231864940363644,0.2104962887500196,0.0259479649522875,0.0844721677348848,0.701569370998515,21.17377053363605,0.7367501874443041,12,0.1438902721589876,0,医药制造业,2022,医药制造业,2022,-0.3762218926866087
000040_2019,示例公司040,40,北交所,2023,专用设备制造业,0.2491496967239882,2,3,1,2,0.6594312924653365,-0.3480846580741342,0.0521007158709272,0.156587402595536,0.7541414014684509,22.24766590110894,0.3969456013164359,18,0.0414804886421064,0,专用设备制造业,2023,专用设备制造业,2023,0.9376954439803686
000041_2020,示例公司041,41,科创板,2019,制造业,-0.262928753680538,3,1,0,0,0.3296365072238415,-0.5513420327526025,0.0255553463979347,0.0943952960249057,0.7455878253681347,21.82077337455025,0.6262092903359835,12,0.1055690247353872,1,制造业,2019,制造业,2019,-0.17864675895747817
000042_2021,示例公司042,42,创业板,2020,软件和信息技术服务业,1.2219971302092951,1,2,3,0,0.3463233067461224,0.6473940822064279,0.0252266213009933,0.0950234421258846,0.6172710372820974,21.746622431051986,0.2008915633870992,20,0.0273220067434726,0,软件和信息技术服务业,2020,软件和信息技术服务业,2020,-0.6122887999576831
000043_2022,示例公司043,43,主板,2021,医药制造业,-0.2134340043418821,3,1,0,2,0.3444849320254383,-0.5315441330171402,0.0473333962564033,0.1396556879357193,0.6565181197453723,21.84081512861994,0.4832770260826583,14,0.1209967615158797,0,医药制造业,2021,医药制造业,2021,0.3807599349922797
000044_2023,示例公司044,44,北交所,2022,专用设备制造业,0.7680957100516329,3,0,2,0,0.378566024381845,0.2089692242743364,0.0216751701834283,0.1875124083835919,0.580529828034398,22.203388240619944,0.6312358721914345,24,0.1724094027919278,1,专用设备制造业,2022,专用设备制造业,2022,-0.2615736821051707
000045_2019,示例公司045,45,科创板,2023,制造业,0.3784637948466962,0,3,0,2,0.0090567342958321,0.1333594434332005,0.0300610561339249,0.2608891604787836,0.7506925591712293,20.99146395805689,0.7048210003319332,17,0.0971644509310189,0,制造业,2023,制造业,2023,0.9805632540136863
000046_2020,示例公司046,46,创业板,2019,软件和信息技术服务业,-0.4792658363807893,0,0,3,2,-1.0293956209573567,0.5724976202049598,0.0217196714615838,0.0499807528609635,0.4994499012113135,22.70684964089905,0.643549854370459,9,0.0836053237875204,0,软件和信息技术服务业,2019,软件和信息技术服务业,2019,-1.375811411325767
000047_2021,示例公司047,47,主板,2020,医药制造业,0.2525034945735533,2,0,2,1,-0.1206960340647372,0.2611706334354733,0.0438887432652362,0.1859760474941451,0.7468059497881387,22.662665970385483,0.1721824363207045,20,0.0160932677410877,0,医药制造业,2020,医药制造业,2020,0.8752758602392032
000048_2022,示例公司048,48,北交所,2021,专用设备制造业,0.3244834489016215,0,0,3,0,-0.7882708353726335,0.8939973343179242,0.0227846533338283,0.0759839813767886,0.6781861025814473,22.3850379376561,0.3736214047840405,11,0.1731616687959674,0,专用设备制造业,2021,专用设备制造业,2021,-0.5905923290551821
000049_2023,示例公司049,49,科创板,2022,制造业,0.6271758300798638,1,1,1,0,-0.0925009052543547,0.4087345199027818,0.0432683726323511,0.1736711546071037,0.6791526464028281,22.556533442751263,0.1792190833883107,14,0.0275104563021269,1,制造业,2022,制造业,2022,0.5571654874573769
000050_2019,示例公司050,50,创业板,2023,软件和信息技术服务业,-0.6327857044740444,1,0,1,0,-0.7308671875821748,0.0783351207223169,0.0420709457898375,0.1539546853581305,0.655124149028923,22.29641800080866,0.2155693746687348,6,0.0169834458618239,1,软件和信息技术服务业,2023,软件和信息技术服务业,2023,0.32396830845821994
000051_2020,示例公司051,51,主板,2019,医药制造业,0.269868523304588,3,0,2,1,0.2290978683577316,0.0096783495755184,0.0413964997959254,0.0673896060886979,0.7101436393608943,24.035073302731067,0.5551833772004905,5,0.0518313239558395,0,医药制造业,2019,医药制造业,2019,-0.04166882565694274
000052_2021,示例公司052,52,北交所,2020,专用设备制造业,0.7637856264705261,3,2,3,0,0.8980286432308084,-0.0527671099938173,0.0444644392305595,0.22318467223038,0.696692349294836,21.91290582894749,0.5779549177870189,15,0.021140173766125,0,专用设备制造业,2020,专用设备制造业,2020,0.9516108696120585
000053_2022,示例公司053,53,科创板,2021,制造业,-0.6415780413720709,0,3,3,1,-0.2969558165697979,-0.0131829057148483,0.0475770095691206,0.1026514000565428,0.6792475985624903,21.692916781665424,0.6142324096509758,7,0.0873700332099995,1,制造业,2021,制造业,2021,0.23596481115420107
000054_2023,示例公司054,54,创业板,2022,软件和信息技术服务业,0.0335573932306976,3,0,0,0,0.1582045293355645,-0.2591623593470097,0.0330644455239689,0.1386531753192103,0.5444160125638249,21.246472419642625,0.6692739288333978,24,0.097734926213709,0,软件和信息技术服务业,2022,软件和信息技术服务业,2022,-0.37940422847345096
000055_2019,示例公司055,55,主板,2023,医药制造业,-0.1556717580826172,0,1,2,1,-0.6719395755062574,0.4411919084366441,-0.0017390087038331,0.0614010220860113,0.5295211242851638,20.967737329422164,0.5936588810859059,21,0.0631368913348592,0,医药制造业,2023,医药制造业,2023,-1.8290034889528737
000056_2020,示例公司056,56,北交所,2019,专用设备制造业,-0.2774376843575605,2,2,0,0,0.2410772561792241,-0.4722925243121412,0.057773796621479,0.152479595184545,0.584585064440541,20.755528212398925,0.6305229552639792,18,0.0186632820377306,0,专用设备制造业,2019,专用设备制造业,2019,0.496770759017231
000057_2021,示例公司057,57,科创板,2020,制造业,-0.4872675803766356,3,3,1,2,0.7830905031383077,-0.9010898642667524,0.0313148209081907,0.1890699676880229,0.5775296553238957,21.111202686769083,0.1793782258939675,19,0.0289720626023685,0,制造业,2020,制造业,2020,-0.005703398697840978
000058_2022,示例公司058,58,创业板,2021,软件和信息技术服务业,1.1944639306161848,3,2,3,0,1.027232134474506,0.1195042116644461,0.0397738894888519,0.1666230380894446,0.828669658748486,21.92931961834793,0.2907210902647791,16,0.0753657442582877,1,软件和信息技术服务业,2021,软件和信息技术服务业,2021,0.9205606013762262
000059_2023,示例公司059,59,主板,2022,医药制造业,-0.5466895926942107,0,3,1,0,-0.2684892819664399,-0.1495437831366762,0.0419255848944128,0.1629233342515466,0.7122554229241952,22.334295128497715,0.5231386640251474,4,0.0202898366405111,0,医药制造业,2022,医药制造业,2022,0.5660726480798969
000060_2019,示例公司060,60,北交所,2023,专用设备制造业,0.9977884816485098,3,2,3,0,0.9682294997842036,0.0408340320773761,0.0246169733900806,0.2000147990984519,0.6775581317425763,22.051142058552163,0.6648751827748939,11,0.1286922533536852,0,专用设备制造业,2023,专用设备制造业,2023,0.21763302284379152
