firm_id,company,stock_code,board,ipo_year,industry,mention_z,scene_specificity,prudence,packaging_risk,evidence_support,auth_index,pack_index
000032_2021,示例公司032,32,北交所,2020,专用设备制造业,-0.6083834410234482,3,3,2,0,0.7467557449442639,-0.8623780800789915
000033_2022,示例公司033,33,科创板,2021,制造业,-0.7547770526153261,3,0,0,2,-0.07829580441824258,-0.5744961376854192
000034_2023,示例公司034,34,创业板,2022,软件和信息技术服务业,0.21044190206381333,1,0,2,0,-0.4778989056208176,0.502784291783946
000035_2019,示例公司035,35,主板,2023,医药制造业,-0.1953710872486245,0,1,3,1,-0.6838493742560595,0.5124703052167272
000036_2020,示例公司036,36,北交所,2019,专用设备制造业,-0.324543885449378,3,1,0,1,0.31115196769318954,-0.5759880854601385
000037_2021,示例公司037,37,科创板,2020,制造业,-0.8177334964640185,2,3,2,1,0.3393663345089345,-0.6876798069028509
000038_2022,示例公司038,38,创业板,2021,软件和信息技术服务业,-0.05524465308742762,1,3,0,0,0.22352859371875333,-0.2985622310928178
000039_2023,示例公司039,39,主板,2022,医药制造业,0.5597806694626652,2,1,2,0,0.23186494036364408,0.2104962887500196
000040_2019,示例公司040,40,北交所,2023,专用设备制造业,0.2491496967239882,2,3,1,2,0.6594312924653365,-0.3480846580741342
000041_2020,示例公司041,41,科创板,2019,制造业,-0.262928753680538,3,1,0,0,0.3296365072238415,-0.5513420327526025
000042_2021,示例公司042,42,创业板,2020,软件和信息技术服务业,1.2219971302092951,1,2,3,0,0.3463233067461224,0.6473940822064279
000043_2022,示例公司043,43,主板,2021,医药制造业,-0.2134340043418821,3,1,0,2,0.3444849320254383,-0.5315441330171402
000044_2023,示例公司044,44,北交所,2022,专用设备制造业,0.7680957100516329,3,0,2,0,0.37856602438184506,0.2089692242743364
000045_2019,示例公司045,45,科创板,2023,制造业,0.3784637948466962,0,3,0,2,0.009056734295832147,0.1333594434332005
000046_2020,示例公司046,46,创业板,2019,软件和信息技术服务业,-0.47926583638078935,0,0,3,2,-1.0293956209573567,0.5724976202049598
000047_2021,示例公司047,47,主板,2020,医药制造业,0.2525034945735533,2,0,2,1,-0.12069603406473722,0.2611706334354733
000048_2022,示例公司048,48,北交所,2021,专用设备制造业,0.3244834489016215,0,0,3,0,-0.7882708353726335,0.8939973343179242
000049_2023,示例公司049,49,科创板,2022,制造业,0.6271758300798638,1,1,1,0,-0.09250090525435474,0.4087345199027818
000050_2019,示例公司050,50,创业板,2023,软件和信息技术服务业,-0.6327857044740444,1,0,1,0,-0.7308671875821748,0.07833512072231699
000051_2020,示例公司051,51,主板,2019,医药制造业,0.26986852330458805,3,0,2,1,0.2290978683577316,0.009678349575518441
000052_2021,示例公司052,52,北交所,2020,专用设备制造业,0.7637856264705261,3,2,3,0,0.8980286432308084,-0.05276710999381734
000053_2022,示例公司053,53,科创板,2021,制造业,-0.6415780413720709,0,3,3,1,-0.2969558165697979,-0.013182905714848342
000054_2023,示例公司054,54,创业板,2022,软件和信息技术服务业,0.03355739323069765,3,0,0,0,0.1582045293355645,-0.25916235934700976
000055_2019,示例公司055,55,主板,2023,医药制造业,-0.15567175808261724,0,1,2,1,-0.6719395755062574,0.44119190843664413
000056_2020,示例公司056,56,北交所,2019,专用设备制造业,-0.2774376843575605,2,2,0,0,0.2410772561792241,-0.47229252431214125
000057_2021,示例公司057,57,科创板,2020,制造业,-0.4872675803766356,3,3,1,2,0.7830905031383077,-0.9010898642667525
000058_2022,示例公司058,58,创业板,2021,软件和信息技术服务业,1.1944639306161848,3,2,3,0,1.0272321344745061,0.11950421166444614
000059_2023,示例公司059,59,主板,2022,医药制造业,-0.5466895926942107,0,3,1,0,-0.2684892819664399,-0.14954378313667627
000060_2019,示例公司060,60,北交所,2023,专用设备制造业,0.9977884816485098,3,2,3,0,0.9682294997842036,0.040834032077376126
